Token,Length,Frequency
pangkabuhayan,13,1
kriminal,8,1
pagkakapantay,13,1
tahanan,7,1
nagbabalak,10,1
PANIMULA,8,1
manggagawa,10,1
tangi,5,1
pagkakalat,10,1
pista,5,1
ikabubuhay,10,1
sangkatauhan,12,1
hakbang,7,1
maisasagawa,11,1
ginawa,6,1
aasawa'y,8,1
pagpapahayag,12,1
pagsasagawa,11,1
manghawakan,11,1
malupit,7,1
paghihimagsik,13,1
napatutunayang,14,1
layunin,7,1
pagkain,7,1
pagkakapatiran,14,1
nakapamamahala,14,1
angkin,6,1
ipagbabawal,11,1
ma,2,1
kagalingan,10,1
saan,4,1
hurisdiksiyunal,15,1
kanais,6,1
katutubong,10,1
pananamit,9,1
isasailalim,11,1
katakdaan,9,1
paratang,8,1
nasasakupan,11,1
lalaki't,8,1
tumitiyak,9,1
wika,4,1
lubos,5,1
kasapi,6,1
pagkukuro,9,1
karampatang,11,1
kapanatagang,12,1
pagsulong,9,1
estado,6,1
tungkol,7,1
Pagpapahayag,12,1
makamtan,8,1
pagtataguyod,12,1
Pangkalahatang,14,1
kawalang,8,1
kinakailangang,14,1
Bukod,5,1
bansang,7,1
humamak,7,1
sila,4,1
pagkakaitan,11,1
teritoryo,9,1
ipinagkaroon,12,1
pagdaralita,11,1
pagpigil,8,1
pagsasakatuparan,16,1
aapi,4,1
pamamahinga,11,1
pagpapakupkop,13,1
batay,5,1
mapayapang,10,1
pambansang,10,1
Kapulungan,10,1
gulang,6,1
kapisanan,9,1
pangangalangang,15,1
dito,4,1
nagbunga,8,1
pagdatal,8,1
upang,5,1
pagpili,7,1
pangakong,9,1
noong,5,1
Sila'y,6,1
tumanggap,9,1
ipinagkaloob,12,1
uri,3,1
aalipin,7,1
pangkalinangan,14,1
pagboto,7,1
hanapbuhay,10,1
paniniil,8,1
tanging,7,1
Saligang,8,1
sahod,5,1
niya,4,1
edukasyon,9,1
soberanya,9,1
magpalagayan,12,1
aasawa,6,1
lihim,5,1
ipahahayag,10,1
malaking,8,1
NA,2,1
laging,6,1
pinararatangan,14,1
Ngayon,6,1
mithiin,7,1
gumagawa,8,1
nag,3,1
bayan,5,1
pagpasok,8,1
halalan,7,1
iyon,4,1
lamang,6,1
alang,5,1
nakalahad,9,1
Tao,3,1
simulain,8,1
magkapangasawahan,17,1
balota,6,1
pamamaraan,10,1
pinagmulang,11,1
babaeng,7,1
kalusugan,9,1
anyo,4,1
mapangalagaan,13,1
bisa,4,1
umanib,6,1
bahala,6,1
gagawin,7,1
gayon,5,1
kahalagahan,11,1
katumbas,8,1
pananhimik,10,1
nasasalungat,12,1
iisip,5,1
magbigay,8,1
isinilang,9,1
rin,3,1
kurong,6,1
pagbubuyo,9,1
nabibilang,10,1
maitaguyod,10,1
mahihingi,9,1
pagsisikap,10,1
bumalik,7,1
pananalig,9,1
impormasyon,11,1
nangako,7,1
pamantayang,11,1
sumapi,6,1
ituturing,9,1
kaysa,5,1
pagkilos,8,1
katarungan,10,1
isip,4,1
umalis,6,1
parusang,8,1
papasukan,9,1
lumalabag,9,1
pagpupulong,11,1
pagkakaunawa,12,1
magsikap,8,1
pagkakasakit,12,1
kinikilingan,12,1
likas,5,1
hanap,5,1
iisa,4,1
nababatay,9,1
pagsasalita,11,1
ipapataw,8,1
ibang,5,1
panangutan,10,1
layuning,8,1
pagpapatapon,12,1
pagkabalo,9,1
katayuan,8,1
kaunlarang,10,1
garantiyang,11,1
magtamasa,9,1
sala,4,1
mabubuting,10,1
pinakamataas,12,1
nagsasarili,11,1
Pandaigdig,10,1
panahon,7,1
pangangalakal,13,1
ipinahayag,10,1
MGA,3,1
pa,2,1
nito,4,1
angkan,6,1
nakalalait,10,1
unyon,5,1
katandaan,9,1
paglalapastangan,16,1
pangalan,8,1
isa't,5,1
pakikipagtulungan,17,1
pangamba,8,1
alipin,6,1
ipaiilalim,10,1
pakikitungo,11,1
mahalagang,10,1
sangay,6,1
pinili,6,1
kaloobang,9,1
mabigat,7,1
oras,4,1
pati,4,1
tamuhin,7,1
babae,5,1
paghahalal,10,1
kaisipan,8,1
pamumuhay,9,1
pakikipagtulungang,18,1
maikakait,9,1
pagdakip,8,1
pagkabalda,10,1
opisyal,7,1
pangkat,7,1
Karapatan,9,1
pahihirapan,11,1
idaraos,7,1
pagsamba,8,1
magawa,6,1
itinitiwala,11,1
lalapatan,9,1
pagpapawalang,13,1
kaligtasan,10,1
KARAPATAN,9,1
nagpapasiyang,13,1
kakapusan,9,1
pangkalahatang,14,1
kasarian,8,1
parusa,6,1
ituring,7,1
kapayapaan,10,1
kapanganakan,12,1
Karta,5,1
paglilibang,11,1
magtatamasa,11,1
nagpatibay,10,1
pambayan,8,1
pagpapasiya,11,1
loob,4,1
bubusabusin,11,1
kapakanan,9,1
PAGPAPAHAYAG,12,1
karaniwang,10,1
