Token,Length,Frequency
võimalused,10,1
saanud,6,1
diskrimineerimisele,19,1
muutmise,8,1
võrdõiguslikkusesse,19,1
Algharidus,10,1
käesolevas,10,1
pöörduda,8,1
usuliste,8,1
nendest,7,1
põhiõiguste,11,1
suhete,6,1
olevate,7,1
vabadena,8,1
organisatsiooni,15,1
autoriks,8,1
sotsiaalsel,11,1
võõrandamatute,14,1
valida,6,1
vajalike,8,1
selgitus-,9,1
kaitstud,8,1
religioossete,13,1
koostöö,7,1
vabale,6,1
piiratud,8,1
liikmesriigid,13,1
Vanematel,9,1
tarvitse,8,1
esindajate,10,1
ülddeklaratsioon,16,1
ideid,5,1
mõtte-,6,1
aja,3,1
laste,5,1
kodanik,7,1
kohustatud,10,1
kandma,6,1
alandavat,9,1
inimese,7,1
suhtumist,9,1
kuriteost,9,1
kitsendusteta,13,1
arstiabi,8,1
rassilise,9,1
kohtu,5,1
vaja,4,1
endale,6,1
üles,4,1
Samuti,6,1
inimõigusi,10,1
territooriumide,15,1
tagavad,7,1
kohaldada,9,1
ühesugune,9,1
kõiki,5,1
mõista,6,1
kodakondsust,12,1
soodsatele,10,1
samuti,6,1
vajaduste,9,1
sealhulgas,10,1
rahvusvahelisele,16,1
perekonda,9,1
rahvusvaheli,12,1
väärikusse,10,1
segada,6,1
seisundis,9,1
päritolust,10,1
vaid,4,1
astuda,6,1
rahvusvaheliste,15,1
kaitse,6,1
kuulutuada,10,1
sunnitud,8,1
rahvusliku,10,1
milliselt,9,1
järgi,5,1
sündinud,8,1
juures,6,1
muudest,7,1
jumalateenistuse,16,1
varanduslikust,14,1
täita,5,1
teost,5,1
viia,4,1
vahetegemiseta,14,1
olla,4,1
missuguse,9,1
suurendamisele,14,1
leiaksid,8,1
õigussubjektsuse,16,1
kujul,5,1
perekonnale,11,1
tagasi,6,1
alg-,4,1
vahelesegamiste,15,1
iseloomust,10,1
riigid,6,1
rahvuslikust,12,1
lugupidamise,12,1
saladust,8,1
kultuurielust,13,1
alus,4,1
territoorium,12,1
elule,5,1
kohtlemist,10,1
eesmärkide,10,1
loetakse,8,1
võrdsetena,10,1
täitmiseks,10,1
seaduslikus,11,1
täitmist,8,1
neil,4,1
selliste,8,1
inimõigustest,13,1
annavad,7,1
meestel,7,1
seisundi,8,1
teostamisele,12,1
sellise,7,1
ühinenud,8,1
käesolevaga,11,1
põlastamine,11,1
kuulutab,8,1
struktuurile,12,1
erapooletu,10,1
kriminaalsüüdistuste,20,1
ametühingutesse,15,1
haridusele,10,1
järgides,8,1
usuvabadusele,13,1
aluseks,7,1
valimisõiguse,13,1
kodumaa,7,1
vähemalt,8,1
johtuvad,8,1
alla,4,1
omamisele,9,1
töötajal,8,1
rakendada,9,1
hüvesid,7,1
Neil,4,1
jälitamise,10,1
poliitilise,11,1
üksteisesse,11,1
viinud,6,1
teel,4,1
vahistada,9,1
põhjustel,9,1
süülisuse,9,1
riigipiirist,12,1
juhul,5,1
määratlemiseks,14,1
mittepoliitilisest,18,1
valikul,7,1
perekonna,9,1
võib,4,1
igaühe,6,1
määrida,7,1
mõne,4,1
põhikirjas,10,1
liikmel,7,1
tunda,5,1
asutada,7,1
südametunnistuse,16,1
korras,6,1
seisundist,10,1
kuuluvad,8,1
poliitilisest,13,1
ilmajäämise,11,1
erilisele,9,1
kuriteo,7,1
vajadust,8,1
piinavad,8,1
tasutav,7,1
tööle,5,1
tuleneb,7,1
ennistamisele,13,1
lastele,7,1
efektiivset,11,1
rakuke,6,1
eesõigus,8,1
abile,5,1
kohustuslik,11,1
suveräänsuses,13,1
Seda,4,1
salajase,8,1
tunnustamist,12,1
jurisdiktsiooni,15,1
seda,4,1
soost,5,1
käesolevat,10,1
südametunnistust,16,1
liikmeiks,9,1
liikuda,7,1
nõutav,6,1
valimistes,10,1
vendluse,8,1
perioodislistes,15,1
korteripuutumatust,18,1
sõlmida,7,1
viibiks,7,1
Preambula,9,1
elutingimuste,13,1
Rahavaste,9,1
Kõigil,6,1
haridus,7,1
täiendatakse,12,1
maailma,7,1
asi,3,1
üldisele,8,1
kinnipidamisele,15,1
avalikul,8,1
abielluda,9,1
saabumise,9,1
rassi,5,1
arusaamisel,11,1
astumise,8,1
kunsti-,7,1
vastu,5,1
toit,4,1
täielikule,10,1
kinnitanud,10,1
kõrgem,6,1
väljenduma,10,1
lesestumise,11,1
püüdma,6,1
säilitamiseks,13,1
ebainimlikku,12,1
üldhariduse,11,1
teaduse,7,1
rahvuskohtute,13,1
kultuuri,8,1
tasuta,6,1
täielikuks,10,1
süüdi,5,1
mõistmisele,11,1
vahenditele,11,1
astuma,6,1
õpetuse,7,1
usulisest,9,1
teaduslikest,12,1
olgu,4,1
avaldamisele,12,1
südametunnistus,15,1
arenemiseks,11,1
inimväärilise,13,1
julma,5,1
põhivabadustest,15,1
hoidmiseks,10,1
väärikuselt,11,1
rikkumiste,10,1
Tehniline,9,1
vabaduste,9,1
perekonnaellu,13,1
suunatud,8,1
täieliku,8,1
samatähenduslikes,17,1
Neile,5,1
puudust,7,1
abielluva,9,1
tal,3,1
määrata,7,1
muust,5,1
nõudeid,7,1
Abielu,6,1
nõusolekul,10,1
need,4,1
hooldusele,10,1
pagendada,9,1
Perekond,8,1
efektiivsele,12,1
abinõuna,8,1
panus,5,1
korraldusele,12,1
põhjendatuse,12,1
isiksuse,8,1
Täisealiseks,12,1
rahuldavale,11,1
kirjandusteostest,17,1
endast,6,1
takistamatult,13,1
hooldusalune,12,1
esitatud,8,1
reputatsiooni,13,1
luua,4,1
tööpäeva,8,1
informatsiooni,14,1
perioodiline,12,1
üldist,6,1
sallivusele,11,1
tagab,5,1
lühendamine,11,1
tegelikult,10,1
puhkus,6,1
materiaalsete,13,1
osaks,5,1
haiguse,7,1
Organisatsiooniga,17,1
veetmisele,10,1
nautida,7,1
orjakaubandus,13,1
vahenditega,11,1
viisil,6,1
mõistus,7,1
sõltumata,9,1
ametühinguid,12,1
rahava,6,1
vajalik,7,1
sõprusele,9,1
nahavärvusest,13,1
orjus,5,1
usu,3,1
enda,4,1
vaim,4,1
rassist,7,1
õigusteta,9,1
orjuses,7,1
parandamisele,13,1
kindlakstegemiseks,18,1
olnud,5,1
elatustasemele,14,1
vormides,8,1
Iga,3,1
kompetentsete,13,1
olemise,7,1
vaadataks,9,1
vabaks,6,1
riietus,7,1
jõupingutustega,15,1
võim,4,1
perre,5,1
sundida,7,1
konstitutsiooniga,17,1
rühmituste,10,1
kindlakstegemiseni,18,1
territooriumi,13,1
dekl,4,1
kodumaale,9,1
õiglastele,10,1
elatuse,7,1
vajaduse,8,1
õigustelt,9,1
seisuslikust,12,1
säilitamisel,12,1
barbaarsusteni,14,1
loomine,7,1
osas,4,1
väärtusse,9,1
kodakondusele,13,1
rahavad,7,1
tagakiusu,9,1
meeste,6,1
tegevust,8,1
ega,3,1
organ,5,1
piinamisi,9,1
püüdluseks,10,1
kirjavahetuse,13,1
võltsimata,10,1
ülddeklaratsiooni,17,1
ollakse,7,1
liikmete,8,1
vaba,4,1
süüdistataval,13,1
raskemat,8,1
valitsemisest,13,1
ühiskondlik,11,1
diskrimineerimiseta,19,1
naistel,7,1
tervise,7,1
sotsiaalsest,12,1
kutseharidus,12,1
rituaalsete,11,1
kohtulikul,10,1
sotsiaalkindlustuse,19,1
kuriteod,8,1
maalt,5,1
otsustanud,10,1
põhimõtetega,12,1
tunnustamisele,14,1
teda,4,1
keelatud,8,1
elukoht,7,1
õigusliku,9,1
rahvuse,7,1
liitumise,9,1
võimu,5,1
Peaassamblee,12,1
türannia,8,1
rõhumise,8,1
rikkumise,9,1
mõlema,6,1
moraalsete,10,1
kihutamise,10,1
arutamisel,10,1
hirmu,5,1
tunnustamine,12,1
kombetalituste,14,1
suur,4,1
vastastikusele,14,1
piires,6,1
alal,4,1
tegevusetuse,12,1
hülgamine,9,1
rahumeelse,10,1
sünnivad,8,1
puhkeajale,10,1
põhiline,8,1
Valitsuse,9,1
deklaratsiooni,14,1
Pidades,7,1
haridustööga,12,1
süütuks,7,1
koostöös,8,1
poole,5,1
Kõigile,7,1
au,2,1
inimestest,10,1
puhul,5,1
millisel,8,1
isiklikku,9,1
valitud,7,1
võimetele,9,1
tagama,6,1
võinud,6,1
progressile,11,1
abiellu,7,1
